"DIAGRAM_ID";"CAS";"MNOZSTVO";"oom_id";"datum"
70364160;-45;0;8901990;0014-01-01
70364160;-30;0;8901990;0014-01-01
70364160;-15;0;8901990;0014-01-01
70364160;0;0;8901990;0014-01-01
70364160;15;0;8901990;0014-01-01
70364160;30;0;8901990;0014-01-01
70364160;45;0;8901990;0014-01-01
70364160;60;0;8901990;0014-01-01
70364160;75;2;8901990;0014-01-01
70364160;90;0;8901990;0014-01-01
70364160;105;0;8901990;0014-01-01
70364160;120;0;8901990;0014-01-01
70364160;135;0;8901990;0014-01-01
70364160;150;0;8901990;0014-01-01
70364160;165;0;8901990;0014-01-01
70364160;180;0;8901990;0014-01-01
70364160;195;0;8901990;0014-01-01
70364160;210;0;8901990;0014-01-01
70364160;225;0;8901990;0014-01-01
70364160;240;0;8901990;0014-01-01
70364160;255;0;8901990;0014-01-01
70364160;270;0;8901990;0014-01-01
70364160;285;0;8901990;0014-01-01
70364160;300;0;8901990;0014-01-01
70364160;315;0;8901990;0014-01-01
70364160;330;0;8901990;0014-01-01
70364160;345;0;8901990;0014-01-01
70364160;360;0;8901990;0014-01-01
70364160;375;0;8901990;0014-01-01
70364160;390;0;8901990;0014-01-01
70364160;405;0;8901990;0014-01-01
70364160;420;0;8901990;0014-01-01
70364160;435;2;8901990;0014-01-01
70364160;450;0;8901990;0014-01-01
70364160;465;0;8901990;0014-01-01
70364160;480;0;8901990;0014-01-01
70364160;495;0;8901990;0014-01-01
70364160;510;0;8901990;0014-01-01
70364160;525;0;8901990;0014-01-01
70364160;540;0;8901990;0014-01-01
70364160;555;0;8901990;0014-01-01
70364160;570;0;8901990;0014-01-01
70364160;585;0;8901990;0014-01-01
70364160;600;0;8901990;0014-01-01
70364160;615;0;8901990;0014-01-01
70364160;630;0;8901990;0014-01-01
70364160;645;0;8901990;0014-01-01
70364160;660;0;8901990;0014-01-01
70364160;675;0;8901990;0014-01-01
70364160;690;0;8901990;0014-01-01
70364160;705;0;8901990;0014-01-01
70364160;720;0;8901990;0014-01-01
70364160;735;0;8901990;0014-01-01
70364160;750;0;8901990;0014-01-01
70364160;765;0;8901990;0014-01-01
70364160;780;0;8901990;0014-01-01
70364160;795;2;8901990;0014-01-01
70364160;810;0;8901990;0014-01-01
70364160;825;0;8901990;0014-01-01
70364160;840;0;8901990;0014-01-01
70364160;855;0;8901990;0014-01-01
70364160;870;0;8901990;0014-01-01
70364160;885;0;8901990;0014-01-01
70364160;900;0;8901990;0014-01-01
70364160;915;0;8901990;0014-01-01
70364160;930;0;8901990;0014-01-01
70364160;945;0;8901990;0014-01-01
70364160;960;0;8901990;0014-01-01
70364160;975;0;8901990;0014-01-01
70364160;990;0;8901990;0014-01-01
70364160;1005;0;8901990;0014-01-01
70364160;1020;0;8901990;0014-01-01
70364160;1035;0;8901990;0014-01-01
70364160;1050;0;8901990;0014-01-01
70364160;1065;0;8901990;0014-01-01
70364160;1080;0;8901990;0014-01-01
70364160;1095;0;8901990;0014-01-01
70364160;1110;0;8901990;0014-01-01
70364160;1125;0;8901990;0014-01-01
70364160;1140;2;8901990;0014-01-01
70364160;1155;0;8901990;0014-01-01
70364160;1170;0;8901990;0014-01-01
70364160;1185;0;8901990;0014-01-01
70364160;1200;0;8901990;0014-01-01
